Validation_Set,Topics,Alpha,Beta,Coherence
75% Corpus,3,0.31,symmetric,0.28196087632658934
75% Corpus,3,0.61,0.01,0.2715626497120956
75% Corpus,3,0.61,0.31,0.2792312423450048
75% Corpus,3,0.61,0.61,0.26719337009542254
75% Corpus,3,0.61,0.9099999999999999,0.2848736575964919
75% Corpus,3,0.61,symmetric,0.2792312423450048
75% Corpus,3,0.9099999999999999,0.01,0.243467980333164
75% Corpus,3,0.9099999999999999,0.31,0.24539940853753425
75% Corpus,3,0.9099999999999999,0.61,0.24668398457911458
75% Corpus,3,0.9099999999999999,0.9099999999999999,0.24668398457911456
75% Corpus,3,0.9099999999999999,symmetric,0.25098472918919335
75% Corpus,3,symmetric,0.01,0.29675245666709144
75% Corpus,3,symmetric,0.31,0.30424027561217465
75% Corpus,3,symmetric,0.61,0.296573423192463
75% Corpus,3,symmetric,0.9099999999999999,0.296573423192463
75% Corpus,3,symmetric,symmetric,0.29675245666709144
75% Corpus,3,asymmetric,0.01,0.3340383081076566
75% Corpus,3,asymmetric,0.31,0.2876024733388544
75% Corpus,3,asymmetric,0.61,0.23139932886645811
75% Corpus,3,asymmetric,0.9099999999999999,0.26043940462893295
75% Corpus,3,asymmetric,symmetric,0.25764160489560406
75% Corpus,4,0.01,0.01,0.32878837239165576
75% Corpus,4,0.01,0.31,0.2940748460646107
75% Corpus,4,0.01,0.61,0.28619452270758317
75% Corpus,4,0.01,0.9099999999999999,0.28298000878303314
75% Corpus,4,0.01,symmetric,0.29102146390214145
75% Corpus,4,0.31,0.01,0.32180475256005897
75% Corpus,4,0.31,0.31,0.3378421028857238
75% Corpus,4,0.31,0.61,0.3318602207800686
75% Corpus,4,0.31,0.9099999999999999,0.33131800160070235
75% Corpus,4,0.31,symmetric,0.3433968017299195
75% Corpus,4,0.61,0.01,0.27664073175987663
75% Corpus,4,0.61,0.31,0.29145966315412447
75% Corpus,4,0.61,0.61,0.28199129011768886
75% Corpus,4,0.61,0.9099999999999999,0.29785454010369394
